Sl No,city,country,name,address,date,state_code,price,bed,bath,area,pet,deposit,ac,parking,dishwasher,fireplace,storage,hardwood_floor
1,orlando,US,BEAUTIFUL STUDIO AT WESTGATE LAKES RESORT & SPA NEAR DISNEY UNIVERSAL SEA WORLD,"Orlando, FL",04/23/23,FL,291751,Studio,1,493,Allowed,,Available,Available,Available,Available,Available,Available
2,orlando,US,"Flat For Rent In Orlando, Florida","Villa Tuscany, Hollenbeck Drive, Orlando, FL 32806, USA",01/14/24,FL,112212,2,1,500,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
3,orlando,US,Apartment In The Heart Of Orlando - CVA814,"Orlando, FL",06-06-2023,FL,463810,3,2,1238,,,Available,Available,Available,Available,Available,Available
4,orlando,US,4012 Breakview Dr 208 · VistaCay Condo Near Conventional Center Universal8,"Orlando, FL",08-10-2023,FL,433886,3,2,1033,,,Available,Available,Available,Available,Available,Available
5,orlando,US,"Flat For Rent In Orlando, Florida","182 America Street, Orlando, FL 32801, USA",01/14/24,FL,112212,1,1,636,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
6,orlando,US,"Flat For Rent In Orlando, Florida","10250 Dwell Court, Orange County, FL 32832, USA",01/14/24,FL,112212,2,2,1115,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
7,orlando,US,"Flat For Rent In Orlando, Florida","4775 Lenmore Street, Orlando, FL 32812, USA",01/14/24,FL,112212,1,1,544,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
8,orlando,US,"Flat For Rent In Orlando, Florida","Hunter's Creek Golf Club, 14401 Sports Club Way, Orlando, FL 32837, USA",01/14/24,FL,112212,2,2,1388,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
9,orlando,US,"Flat For Rent In Orlando, Florida","8272 Nemours Parkway, Orlando, FL 32827, USA",01/14/24,FL,112212,1,1,750,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
10,orlando,US,"Flat For Rent In Orlando, Florida","2082 Page Avenue, Orlando, FL 32806, USA",01/14/24,FL,112212,2,1,1516,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
11,orlando,US,$950 - 1 Bedroom 1 Bathroom Apartment In Orlando With Great Amenities,"6844 Westborough Ln, Unit 12",11/17/23,,78964,1,1,300,,,Available,Available,Available,Available,Available,Available
12,orlando,US,Prestige Resort Studio Near Universal & Disney,"Orlando, FL",04/30/23,FL,256841,1,1,453,,,Available,Available,Available,Available,Available,Available
13,orlando,US,Remodeled Studio Apartment Centrally Located,"Orlando, FL",05-01-2023,FL,199488,1,1,,,,Available,Available,Available,Available,Available,Available
14,orlando,US,"Flat For Rent In Orlando, Florida","2985 Fern Creek Avenue, Orange County, FL 32806, USA",01/14/24,FL,112212,2,1,935,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
15,orlando,US,Charming 1 Bedroom 1 Bath Apartment In Private Area,"Orlando, FL",09/16/23,FL,187020,1,1,,,,Available,Available,Available,Available,Available,Available
16,orlando,US,Art Avenue Apartments,"unnamed road, Orlando, FL, USA",02/14/24,FL,148535,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
17,orlando,US,"Modern Luxury, Minutes To Downtown Orlando","Orlando, FL",11/26/23,FL,396482,Studio,,,,,Available,Available,Available,Available,Available,Available
18,orlando,US,"Storey Lake Resort 447 - Modern Condo With Private Balcony, Near Disney","Orlando, FL, 32896",01-08-2024,FL,528643,2,2,,,,Available,Available,Available,Available,Available,Available
19,orlando,US,"Flat For Rent In Orlando, Florida","4180 Ethan Lane, Orlando, FL 32814, USA",01/14/24,FL,112212,1,1,825,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
20,orlando,US,"Flat For Rent In Orlando, Florida","104 Lake Avenue, Orlando, FL 32801, USA",01/14/24,FL,112212,Studio,1,737,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
21,orlando,US,"Flat For Rent In Orlando, Florida","324 Kaley Street, Orlando, FL 32806, USA",01/14/24,FL,112212,1,1,398,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
22,orlando,US,"Flat For Rent In Orlando, Florida","Downtown Baptist Church, Pine Street, Orlando, FL 32896, USA",01/14/24,FL,112212,1,1,703,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
23,orlando,US,"Flat For Rent In Orlando, Florida","631 Woodlawn Boulevard, Orlando, FL 32801, USA",01/14/24,FL,112212,2,1,700,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
24,orlando,US,"Flat For Rent In Orlando, Florida","Orlando Regional Medical Center – Lucerne Pavilion, Main Lane, Orlando, FL 32801, USA",01/14/24,FL,112212,3,2,1619,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
25,orlando,US,Storey Lake Resort 762,"Orlando, FL, 32896",07/19/23,FL,356585,2,2,,,,Available,Available,Available,Available,Available,Available
26,orlando,US,Studio Apartment For Rent $1410/Month With All Utilities Included,"5312 Old Cheney Hwy, Unit D",02-09-2024,,117199,1,1,,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
27,orlando,US,"Hidden Oasis #4 2 BDRM, 2 Bath","Winter Park, FL",04/25/23,FL,473784,2,2,,,,Available,Available,Available,Available,Available,Available
28,orlando,US,Condo Next To Convention Center,"Orlando, FL",08-10-2023,FL,448848,3,2,1033,,,Available,Available,Available,Available,Available,Available
29,orlando,US,"Flat For Rent In Orlando, Florida","651 Smith Street, Orlando, FL 32804, USA",01/14/24,FL,112212,2,2,1005,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
30,orlando,US,"Flat For Rent In Orlando, Florida","Westgate Dr. and S. Kirkman Rd., Westgate Drive, MetroWest, Orlando, FL 32835, USA",01/14/24,FL,112212,1,1,750,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
31,orlando,US,"Flat For Rent In Orlando, Florida","Dezerland Park Orlando, 5250 International Drive, Orlando, FL 32819, USA",01/14/24,FL,112212,2,2,978,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
32,orlando,US,Vue De Reves By Lake Eola. Free Parking,"Orlando, FL",04/30/23,FL,581009,1,1,720,,,Available,Available,Available,Available,Available,Available
33,orlando,US,"Flat For Rent In Orlando, Florida","2275 Carlton Drive, Conway, FL 32806, USA",01/14/24,FL,112212,2,1,500,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
34,orlando,US,The Epic Dublin Vista Cay Orlando,"Orlando, FL",09/20/23,FL,466303,3,2,1250,,,Available,Available,Available,Available,Available,Available
35,orlando,US,"Central Elegance-Spacious, Beautifully Decor Condo","Orlando, FL",09/19/23,FL,596469,3,2,1247,,,Available,Available,Available,Available,Available,Available
36,orlando,US,"Just 3 Blocks To Park Ave Shops/ Restaurants, 2 From The Winter Park Village!","Winter Park, FL",04/24/23,FL,486252,3,3,1950,,,Available,Available,Available,Available,Available,Available
37,orlando,US,The Epic London Vista Cay Orlando Next To The Club,"Orlando, FL",09/20/23,FL,506201,3,2,100,,,Available,Available,Available,Available,Available,Available
38,orlando,US,"Flat For Rent In Orlando, Florida","Peregrine Avenue, Orlando, FL 32819, USA",01/14/24,FL,112212,1,1,591,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
39,orlando,US,"$1,350 - 1 Bedroom 1 Bathroom Apartment In Orlando With Great Amenities","4540 Commander Dr, Unit 2234",01/28/24,,103900,1,1,735,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
40,orlando,US,"Flat For Rent In Orlando, Florida","Orlando Regional Medical Center – Lucerne Pavilion, Main Lane, Orlando, FL 32801, USA",01/14/24,FL,112212,1,1,675,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
41,orlando,US,"Flat For Rent In Orlando, Florida","3740 Lawson Drive, Orlando, FL 32806, USA",01/14/24,FL,112212,1,1,300,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
